a beam of light	一束光
be committed to	忠于某一立场；坚定的
be compared to	与…相比
be confined to	局限于
be connected by	由…连接
be connected with	与…有关
be convinced that...	确信
be credited to...	归功于…
be dedicated to	从事于；致力于
be derived from	来自
be directed against	指向…
be distinguished for	因…而著称
be dotted with	点缀着
be dramatized by	通过…得到形象地说明
be exposed to	处于…的作用下；使曝光
be filled with	装满
be friendly with	对…友好
be heavily forested	森林茂密的
be held in particularly high	非常受器重
be held in position	使…处于适当位置
be honored with	被授予
be in domestic service	当佣人
be in the hands of	出自…的手
be left for dead	被认为已死撇下不管(意指无法解的难题)
be limited to	局限于
be located on	位于；坐落在
be obliged to	被迫做
be of prime importance	极其重要
be patterned on	以…为模式
be paved with	铺满，遍布
be preferable to	比…更好
be put in chains	被囚禁
be recognized as	被认为是…
be related to	与…有关
be reported as	报道称之为
be resistant to	对…有抵抗作用
be restricted to	局限于
be secreted from	从…分泌出来
be short of	不及；少于；缺少
be substituted for	替代
be taken by	被…吸引
be the case	情况属实
be the rage	极为流行之物；风靡一时
be the rule	普通情况；惯常的事
be tired of	厌倦
be traced to	追溯到
be viewed as	被看作是
become (get) involved	介入
before long	不久以后
begin with the idea that	最初的想法是
behind the lines	在后方
belt buckle	皮带搭扣
Bessemer converter	酸性转炉(旧称贝氏转炉)
Bill of Rights	《人权法案》
billions of	亿万
birth rate	出生率
blood plasma	血浆
blood pressure	血压
blood serum	血浆
blood stream	血流
blow out	破裂
blow up	炸毁
blue whale	蓝鲸
born into	出身于…家庭
bounce bout	来回弹跳
brain wave'breinweiv脑波
break down into	分解成…
break into	碰到；发现
break off	断裂
break off	破壳而出
break ties with	断绝与…的关系
breeze up	(风)变强
bright spot	光点
bring about	导致
bring in	介绍；带进，引进
bring sb. to the scene	使…来到现场
bring sth. to a close	结束
bring...to an end routine	结束
broad-brimmed hat	宽边帽
Bronze AgeHcpyy青铜器时代
build confidence	树立信心
bump into	碰到
burn out	烧掉
burst apart	猛烈爆裂
by accident	偶然
by means of	通过
by no means	决不，并不是
by one's own admission	自已承认(认为)
by one's own power	靠自身的能力
by the (thousands)	按(千)计算
by the age of	到…年龄
by the close of	到…末期
by the way	顺便说一下
by twos	每两人(一组)
call for	要求
cannot help but	禁不住
capture the imagination of	激起…的想象（力）
care about	关注；对…感兴趣
care for	照料(看)
carry on	进行
carry out	进行
carry sth. on one's back	背在背上
carve out of	从…切出(引伸为修建)
cash prize	现金奖励(赏)
catch a glimpse of	看一看，瞥见
catch on	流行起来
cater to...	满足…的需要；迎合
caught up with	入迷；给…迷住
cause damage to	带来损害
cave painting	洞穴壁画
chains of islands	岛群
chamber music	室内乐
chaos and confusion	混乱与浑沌
chemical bond	化学键
chemical compound	化合物
chemical integration	化学结合
chip out	切成小片
church tower	教堂塔
circulatory system's3:kjul3t3ri;sistim循环系统
civic duties	公民义务
civil law	民法
civil service	行政部门
Civil War	美国内战(南北战争)
clay pottery	黏土陶瓷器
clean up	清理干净；清除
clear of	离开；脱离
cling to	粘在…上
close in on	包围，围住
close-up view	特写镜头；接近的观察
closed circuit television	闭路电视
coal mine	煤矿
coated with	涂有
coax sb. into doing sth.	劝诱(说服)某人做某事
collide with	与…相碰撞
colonial expansion	殖民扩张
colored filter	彩色滤光片
combine...with	与…结合(化合)
come across	遇到
come due	到期
come into being	形成；产生
come into one's own	进入繁盛期
come on	得到；碰上；找到
come to	谈到；提及
come under heavy criticism	遭到严厉的批评
come upon	遇到
communicative competence	交际能力
commuter train	市郊往返列车
compete with	与…竞争
computer programmer	电脑程序编制员
concentration on	注意力集中于
concern oneself with	研究的对象是…
concerns over	为…担心(忧虑)
confer sth. on sb.	把…赐予(授予)
conform to	遵守
consist of	由…组成
continental drift	大陆漂移(说)
continental shelf;k6nti'nentl 7elf大陆架
contrary to	与…相反
contrast with	与…相比
convection current	对流循环气流
convection zone	对流层
convert...into...	把…转换成
convex polygon	凸面多角形
cope with	与…相适应
correspond to	与…相对应
count on	依赖
course offering	课程设置
craft of poetry	诗歌技艺
credit sb. with sth.	把…归功于
crew modules	船员舱
critical point	临界点
crouchkrautOz4xXvi.蹲；弯腰
curio hunter	古董搜寻者
cut down	减少，削减
dance to jazz music	在爵士乐的伴奏下跳舞
date from	追溯
deal with	处理；研究
dearest to one's heart	最喜欢的
decision point	决定点
Declaration of Independence	《独立宣言》
dedicate oneself to	把自己致力于；赋予自己
defend oneself against	对…为自己辩护
deprive sb. of sth.	使…丧失；剥夺
derived from	来源于
descriptive statistics	描述统计学
desert landscape	沙漠地貌
despite the odds	尽管有极大的困难
develop confidence in sb.	对某人产生信任
devoid of	没有
devote one's attention to	注意；重视
devote oneself to	致力于
die break	钢模损坏
die down	衰落
die hard	难解掉；难消灭
die out	灭绝
digestive system	消化系统
distinguish...from...	区分
double-glazed panel	双层玻璃板
draft plan	草案
drip cup	滴壶
drum skin	鼓皮
duct gland	有输送管的腺；管腺
due to	由于；取决于
dust off	弄掉…灰尘
earn the name of	获得…的(美)名
elective system	选修制
electric current	电流
electric eel	电鳗
electric resistance	电阻
electric traction line	电车线
electric trolley	电车
electromagnetic spectrum	电磁光谱
emission control	废气排出控制
empty...of...	使…失去
end in	以…告终
endangered species	濒临灭绝的物种
energy content	能量
enter a race	参加比赛
entrance requirement	入学要求(条件)
environmental concerns	环境问题
equilateral triangle	等边三角形
every item of dress	每件衣服
every walk of life	各行各业
exercise one's activity	活动
exocrine gland	外分泌腺
expansion program	扩建工程
exploratory trip	考察旅行
fade away	逐渐消失
fail to do sth.	未能做
fall in between	介于两者之间
fall in steps with	与…齐步行进
fall into	分成
fall short of	未达到；辜负
far beyond the planets	远离行星的
fasten to	固定在… 上
fatten sth. up	使…长肥
fault system	断层系统
feed on	以…为生
fertilized eggs	受精卵
fill in	填充
fill out	扩大
fill up	填补
fishing enthusiast	钓鱼爱好者
fit the bill	符合要求，适合要求
fill the bill	符合要求，适合要求
flash out	辐射；照射
flies in amber	珍奇遗物
flour sack	面粉袋
focus on	以…为焦点；集中于
follow close to the line of	严格遵守
follow suit	学样，照着做
food processing	进食
for a time	一段时期
for the most part	多半；通常；在极大程度上
for the remainder of	余下的岁月里
for the time	在当时
fossil fuel	化石燃料
free of	没有
from generation to generation	世代相传
from sb.'s of view	从…的角度来看
from sb.'s standpoint	从…的观点来看
from without and within	来自外面和内部的
front teeth	门牙
frost heaving	冻胀；冰冻隆胀
full authority	全权
full moon	满月
fully outfitted for	为…完全整装好
gain a win	获胜
gain easy access	容易接近
gain interest among	令…感兴趣
games of chance	机遇游戏
gamma radiation	伽马射线
gem topaz	宝石黄晶
geologically speaking	从地质学的角度来说
geomagnetic field	地磁场
get into hot water	陷入困境
get under way	开始进行
get...in tone	使和谐(协调)
gifted with	天生有
give birth	产仔，生孩子
give birth to	产生；形成
give off	长出；发出
give rise to	导致
give way to	让路，让步
Glacier National Park	国家冰川公园
go as follows	如下
go about	从事
go back as far as	追溯到…
go back to	追溯到
go off	爆炸
gold rush	淘金热
gold-headed cane	金手杖
governing class	统治阶级
grass plains	长满草的平原
graze on	吃
grind up	磨碎
grizzly bear	(北美产的)灰熊
grocery store	杂货店
gypsy moth	舞毒蛾
in route from...to...	从…到…的途中
ice Age	冰期；冰河时代
ice cap	冰盖；冰冠
ice cube	近似立方形的冰块
idiomatic expressions	习惯表达法
if sorts	勉强称得上的；各种各样的
immediate forebear	直系祖先
in a brilliant fan	呈明亮的扇形
in a large part	在很大程度上
in abundance	大量地
in abundant supply	大量供应
in addition to	除…以外
in advance	提前，预先
in an early form	雏形
in combination	结合
in conjunction with	与…连起来
in constant motion	不断运动
in contact with	与…联络(系)
in contrast	相反
in cooperation with	与…合作
in depth	全面深入地；彻底地
in extent	就面积而言
in favor of	支持；出于偏爱
in general	总的说来
in half	两半
in harmony with	与…协调
in high gear	高速，高档
in one's own right	本身，自身
in one's power	尽某人的努力
in one's turn	接着；轮到时
in oneself	自身
in operation	在运行
in other words	也就是说；换句话说
in proportion	相应地
in proportion to	与…成比例
in quantity	大量的
in relation to	与…有关
in showers of spark	阵雨似的火花
in significant measure	在很大的程度上
in so far as	在…的范围内；到…的程度
in some cases	在某些情况下
in terms of	从…角度而言
in the hope of	希望
in the depth of	在…里面
in the distant future	在遥远的将来
in the midst of	在…中间
in the open air	在户外
in the past	在过去
in the sense of	从…意义上说
in the spotlight	成为注意中心；出风头
in the strictest sense	最严格的意义上
in theory	理论上
in this manner	用这种方式；这样
in this respect	在这方面
in turn	反过来；转而
independent of	独立于
indulge in	沉溺于
inferential statistics	演绎统计学
inferior to	比…差，低于…的
insofar as	在…的范围内；到…的程度
instant color print	即现彩色印制
insulation board	隔热板
interact with	与…相互作用
interfere with	干扰
intergalactic space	星际空间
intestinal wall	肠壁
iron rail	铁轨
iron rod	铁棍
ironing table	熨衣板
irrelevant to	与…不相关
isolated substance	离析物质
it is not just that...	这并不只是因为
jaw muscle	颚肌
jibe with	符合…，与…一致
jigsaw puzzle'd=igs6: 'p2zl七巧板
jump out at	突然出现
keep abreast with	跟上，不落后于
keep at	不息地做
keep count of	知道…的确切数目
keep out	抵御
keep record	管理楼案
keep to	留在(某地)
keep up with	跟上
keep with sb.'s orders	遵照…的命令
keep...on board	使…有(工作上的)联系
key component	主要成分
keyboard instrument	键盘乐器
killer whale	虎鲸；逆戟鲸
know better	明事理；有头脑
know next to nothing of...	几乎一无所知
laden with	充满
later years	晚年
lava cave	熔岩洞
lawn sprinkler	草坪撒水器
lay claim to	宣称有…
lead out	开始；出发
learn by rote	死记硬背地学习
leave no sort of trace	没有留下任何痕迹
let off	放(枪炮，烟花)等
liberal arts	人文科学
life cycle	生命周期
light bulb	灯泡
light court	天窗
link...to...	与…连接起来
literary output	文学作品
living quarters	住处
lock system	河闸控制系统
long johns	长内衣裤
look into	研究
lose consciousness	失去知觉
lose sight of	忘记；忽略；不再看见
love affair	恋爱
Lower World	下界
loyal to	效忠于
lubricating oil	润滑油
main subject	主体
maintain order	维持秩序
major general	少将
make a point	表明一种看法；证明一个论点
make a tribute to	向…献礼
make an impact on	对…产生影响
make one's way to	想方设法进入
make out	辨出来，看出来
make sketches of	作素描
make the difference	产生差别
make the most of	充分利用
make up	构成；组成
make way for	为…腾出地方；让路
manufacturing or mining center	制造或矿业开发中心
marine scientist	海洋科学家
mass production	大量生产
mass transportation	公共交通运输
massed movement	大规模运动
maverickm5v3rik47Ozga.标新立异的；持不同意见的
medicine man	巫医
membership fee	会员费
merge into	合并；结合
merit and demerit	优缺点
methyl cyanide	甲基氰
migratory bird	候鸟
mill town	工业城
mirror film	镜膜
model oneself after	模仿…
modus operandi419ye(拉丁文)做法
monarch butterfly	黑脉金斑蝶
more specifically	更具体地说
more succinctly	更简洁地说
more than	超出…的
motion picture	电影
motor center	运动(神经)中枢
move into	进入
much less	更不用说
multiple service	多层次服务
musical composition	乐曲
name after	以…命名
native to (the west)	(西部)土生土长的
NATO	北大西洋公约组织
natural balance	生态平衡
nervous system	神经系统
news coverage	新闻报道
no wonder	不足为怪
not-too-distant future	在不远的将来
nuclear energy	核能
nucleic acidnju:'kli:k '5sid核酸
object lesson	示范；实物教学
of all time	有史以来
of special note	特别显著；特别重要
of the day	当时的
of the essence	极其重要的；必不可少的
of the period	当时
off course	不在规定的轨道上；离开航线
oil refining	炼油
on a daily basis	每天(指一起共事)
on an equal base with	与…在平等的基础上
on average	平均
on hard times	在困难时期
on one's own	靠自己的力量
on the battlefield	在战场上
on the bottom	在底部
on the heavy side	有点偏胖
on the other side	另一方面
on the part of	就…而言
on the spot	当场，现场
on the strength of	基于，根据
on the urban scene	在城市里
on the whole	总的说来
on the whole	整体而言
on their way	在…途中
on various occasions	在许多情况下
only that...	只是因为…
open ended	开口的
open up	开设
operational mine	工作矿井
or whatever	等等；诸如此类的事
order of magnitude	数量级
organic food	有机食品
original version	原始著作；原始版本
originate from	源于
other than	除了…以外
out of place	不在合适的位置
outer space'aut3 'speis外层空间
over millennia	数千年来
over the horizon	即将来临，已露端倪(同on the horizon)
over time	久而久之
parking lot	停车场
participate in	参加
pass on	传递；转移
pass the time	消磨时光
pass up	放过
pattern sth. after	仿效
pay close heed to	密切注意
peace table	和平谈判桌
peat bog	泥炭
penal colony	(罪犯的)流放地
per capitap3'k5pit人均
perform a role	起作用
perform onstage	登台表演
periodic reversal	周期性反转
persist in	坚持作…
personal conferences	私下交谈；个别接触
personal contact	私下交往
perspective glass	透视镜
physical decay	自然衰退
pick up	找到(路线，踪迹等)并沿着它走
picture tube	显像管
piece together	收集
pilot whale	领航鲸；巨头鲸
pivotal figure	关键人物
Plain Indian Culture	大草原印第安人文化
plastered with	涂上灰泥
plate glass	平板玻璃
plate tectonics	板块结构学
play an important role	起重要作用
plot out	描绘；提出…纲要
point of departure	出发地点
point to	意味着
polar region	极地
political favor	政治施舍
positive and negative effects	正负作用
postage stamp	邮票
pour out into	倾注
power failure	停电
power plant	(同power station)发电厂；发电站
powered trial bike	机动小径自行车
powerful Earth-based telescope	地球上的高倍望远镜
present difficulties	构成困难
press coverage	新闻报道
primary concern	主要关心的事
prior to	在…之前；先于
private industry	私人企业
produce results	产生结果
producer group	生产者集团
progressive forces	进步力量
prominent'pr6min3nt407zva.显著的，突出的
provided that...	如果
public amenities	公共娱乐场所
public land policy	公共土地政策
public opinion	公众舆论
public school	公立学校
public sentiment	公众的情绪
public transit	公共交通系统
pull forward	向前凸出
Puritan father	清教徒长老
put another way	换句话说
put back	恢复正常；把…放回原处
put sb. against	使与…对立
put the interests of...ahead	把…利益置于…之前
put through	使穿过
put up	建立
put...in place	把…放在合适的位置
qualify as	作为…合适
quarry operation	采石场的运作
quarter century	四分之一世纪
quotation mark	引号
rag paper	碎布优质纸
railroad industry	铁路工业
raise money	集资
range from...to...	(在…到…内)变动；显示不定(或不等)
rate of growth	增长率
rather than	而不是
raw material'r6: m3'ti3ri3l原材料
raw sewage	原污水
reach its peak	到达顶峰
ready market	现成的市场
real estate'ri:l i'steit不动产，房地产
red cedar	铅笔柏
reduce...to...	把…简化为
reenter politics	再度从政
refer to	指
reference point	参照点
reference to	提到
reflective glass	反光玻璃
reflective tape	反光带
refuse site	废地
regardless of	不论
relative speed	相对速度
relevant to	与…有关
REM (rapid eye movement)	快速眼动
removed from	远离
renew a friendship	重修旧好
replace...with...	用…代替…
reproductive capability	生殖能力
residential lot	住宅区
result from	由…产生
result in	结果是；导致
result in	导致；结果是
retentive power	暂留力
return to life	恢复活力
reward sb.	奖励；表彰
rich in	富有
rocking chair	摇椅
roll over	翻滚
root in	起源于；起因于
rough hands	粗鲁的工人
run into	遇到
run out of	用完
run parallel to	与…平行
run wild	失控；(价)暴涨
running north and south	贯穿南北
rush out	涌出
rust away	锈烂
satellite city	卫星城
satisfy one's desires	实现愿望
satisfy one's needs	满足…要求
scat singing	无意义的狂喊乱叫唱法
scholarly attainment	学术成就
scoop up	用铲子取
sea anemone	海葵
seal up	封闭，密封
second job	第二职业
second place	第二名
seek after	寻找；追求
sense organ	感觉器官
service industry	服务行业
set a record	创记录
set sth. in motion	使…运动
set the stage for	为…提供舞台；为…创造条件
set the table	摆好餐具
set up	设立
set...in motion	使…运动
shift from...to...	从…转向
shine through	(喻)表现出来
short of	若无，除…外
show off	炫耀，卖弄
shut down	关闭
shut out	遮住；把…挡在外面, 排斥
side with	站在…一边；支持
sieve tube	筛管
sign language	符号语言
sink into an existence	陷入(进入)…的状态
slavish copy	依样画葫芦的摹写
slip away	逃走
slow down	减速；慢下来
social concerns	社会所关注的事物
social worker	社会工作者
solar astronomer	太阳天文学家
solar system;s3ul3'sistim太阳系
solo instrument	独奏乐器
sort out	把…分类
soundly asleep	酣睡
space agency	航天局
space shuttle	航天飞机
speak of	谈到，提到
speed up	加快速度
spend one's entire fortune	花光所有的钱
sperm whale	巨头鲸；抹香鲸
spring into being	产生
spring up	迅速生长
stand at	(测得特定数)达到
standards of admission	入学标准
start out	开始时打算；本来想要
stem from	源于
still life arrangement	大型静物摄影布置
stinging cell	带刺的细胞
stock exchange	股票交易
stretch out	伸出
strike a serious blow at	严重打击
string instrument	弦乐器
subject matter	创作的题材
subject of much debate	有争议的问题
subject to	易受…的
substitute A for B	用A代替B
succeed in	取得成功
sum total	总数，总额
sum up	总结
superior to	比…优越(好)
susceptible to	易受…影响的
swarm of	大群
switch to	转变
switch to oils	改画油画
synonymous with	与…同义
table salt	精制食盐
take a step	迈出一步
take advantage of	利用
take care of	处理
take charge of	负责；主管
take control of	控制
take hold	抓住；扛着
take issue with	与…争论
take measures	采取措施
take note of	作记录
take on	承担, 呈现
take over	接办，接管
take sth. for granted	视…为理所当然
take sth. Seriously	严肃对待…
take the offensive on all fro	全面发起进攻
take to	形成…的习惯；开始喜欢
take up	着手处理；论及
take...for subject matter	把…作为题材
taken in this sense	从这个意义上去理解
tally book	记录本；记账本
target discrimination on...	把对…的歧视作为目标
target organ	目标器官
technological base	技术基础
teeth root	牙根
Ten Commandments	十戒
tend to	倾向于
tens of thousands of	千百万
testify to	说明，表明
the human race	人类
the overwhelming majority	绝大多数
the spot of earth	地方
the turn of the century	本世纪初
theater critic	剧评家
theory of probability	概率论
thin out	变稀薄；变淡
This World	本界
throw off	摆脱
throw oneself into	投身于
tin can	马口铁罐头
tip the scales at	称起来重量为
tissue fluid	组织液
to a great degree	在很大程度上
to the extreme	走向极端
to the point of	到…地步
tooth wear	牙齿磨损
top dogs	夺魁者
town council	市政会，镇政会
trail dust	(亦作a trail of dust)灰尘
transform...into...	把…变成…
transit line	运输路线
Treasury Department	财政部
trip wire	绊网；拉发线
tune in to	收到
turn down	拒绝
turn one's attention to	开始关注；把注意力转移到…
turn out	结果是；证明是
turn to	变成,转向
turn up	来到；出现
turtle shell	玳瑁壳；海龟甲
unaided eye	(不借助设备的)肉眼
unbound hair	飘散的头发
under construction	正在施工之中
under favorable conditions	在有利的情形下
under pressure	在压力之下
under sb.'s directions	在…的指示下
up to	多达
Upper World	上界
upside down'2p;said 'daunpjlwN倒转
urban sprawl	城区的无计划扩张
use up	耗尽；用完
usher in	开辟；创始；宣告…的来临, 引进
vantage point	有利地位
very simply put	简言之
visual illusion	视觉错误
view...as...	认为…是…
vocal chord	声带
volcanic vent	火山口
wad up	揉成一团(卷)
warn sb. of sth.	告诫
wary of	谨防的；小心翼翼的
waste away	慢慢融化掉；逐渐减少
waste disposal	处理废品
wear and tear	磨损和毁坏
were it not for	若不是，假如没有
What a vision!	多壮观!
What of...?	…的情况怎样?
Wigman system	(德国舞蹈家)维格曼体系
win approval	得到支持(嘉许)
wind instrument'wind ;instr3m3nt管乐器
wing bone	翼骨
Winnipeg Grain Exchange	温尼伯粮食交易所
wipe out	消灭
with an eye for	以…的眼光
with reference to	关于；有关
with respect to	就…而言；在…方面
with the exception of	除…之外
wonder food	特效食品
work on the idea of	开始琢磨
work out	计算
worker honeybee	工蜂
wrap up	完成某事
